state,origin,ages_ranges,genders,behavior,expat_population_wave4,facebook_population_wave4,expat_total_population_october,dest_state_fips,dest_state_name,dest_state_letter,dest_state_FB_code,origin_ACS_bpl,origin_ACS_name,origin_FB_code,sex,age_group,nof_foreign_born,nof_residents,frac_foreign_born
Alabama,Australia,ages_15_19,2,6.02135E+12,20,90000,170000,1,Alabama,AL,3843,700,Australia,6.02135E+12,2,ages_15_19,0,151979,0
Alabama,Austria,ages_15_19,2,6.02368E+12,20,90000,170000,1,Alabama,AL,3843,450,Austria,6.02368E+12,2,ages_15_19,0,151979,0
Alabama,Canada,ages_15_19,2,6.0194E+12,40,90000,170000,1,Alabama,AL,3843,150,Canada,6.0194E+12,2,ages_15_19,202,151979,0.001329131
Alabama,China,ages_15_19,2,6.01945E+12,130,90000,170000,1,Alabama,AL,3843,500,China,6.01945E+12,2,ages_15_19,77,151979,0.000506649
Alabama,France,ages_15_19,2,6.01937E+12,20,90000,170000,1,Alabama,AL,3843,421,France,6.01937E+12,2,ages_15_19,0,151979,0
Alabama,Germany,ages_15_19,2,6.01937E+12,60,90000,170000,1,Alabama,AL,3843,453,Germany,6.01937E+12,2,ages_15_19,692,151979,0.004553261
Alabama,Greece,ages_15_19,2,6.02368E+12,20,90000,170000,1,Alabama,AL,3843,433,Greece,6.02368E+12,2,ages_15_19,0,151979,0
Alabama,Hungary,ages_15_19,2,6.0194E+12,20,90000,170000,1,Alabama,AL,3843,454,Hungary,6.0194E+12,2,ages_15_19,0,151979,0
Alabama,India,ages_15_19,2,6.01692E+12,90,90000,170000,1,Alabama,AL,3843,521,India,6.01692E+12,2,ages_15_19,326,151979,0.002145033
Alabama,Indonesia,ages_15_19,2,6.01956E+12,20,90000,170000,1,Alabama,AL,3843,512,Indonesia,6.01956E+12,2,ages_15_19,0,151979,0
Alabama,Ireland,ages_15_19,2,6.0194E+12,20,90000,170000,1,Alabama,AL,3843,414,Ireland,6.0194E+12,2,ages_15_19,0,151979,0
Alabama,Israel,ages_15_19,2,6.025E+12,20,90000,170000,1,Alabama,AL,3843,534,Israel,6.025E+12,2,ages_15_19,0,151979,0
Alabama,Italy,ages_15_19,2,6.0194E+12,20,90000,170000,1,Alabama,AL,3843,434,Italy,6.0194E+12,2,ages_15_19,67,151979,0.00044085
Alabama,Japan,ages_15_19,2,6.02368E+12,50,90000,170000,1,Alabama,AL,3843,501,Japan,6.02368E+12,2,ages_15_19,0,151979,0
Alabama,Malaysia,ages_15_19,2,6.02715E+12,20,90000,170000,1,Alabama,AL,3843,514,Malaysia,6.02715E+12,2,ages_15_19,0,151979,0
Alabama,Mexico,ages_15_19,2,6.02368E+12,1800,90000,170000,1,Alabama,AL,3843,200,Mexico,6.02368E+12,2,ages_15_19,822,151979,0.005408642
Alabama,Nepal,ages_15_19,2,6.02336E+12,20,90000,170000,1,Alabama,AL,3843,524,Nepal,6.02336E+12,2,ages_15_19,0,151979,0
Alabama,Philippines,ages_15_19,2,6.0188E+12,70,90000,170000,1,Alabama,AL,3843,515,Philippines,6.0188E+12,2,ages_15_19,98,151979,0.000644826
Alabama,Poland,ages_15_19,2,6.0194E+12,20,90000,170000,1,Alabama,AL,3843,455,Poland,6.0194E+12,2,ages_15_19,0,151979,0
Alabama,Portugal,ages_15_19,2,6.02135E+12,20,90000,170000,1,Alabama,AL,3843,436,Portugal,6.02135E+12,2,ages_15_19,0,151979,0
Alabama,Puerto Rico,ages_15_19,2,6.01952E+12,80,90000,170000,1,Alabama,AL,3843,110,Puerto Rico,6.01952E+12,2,ages_15_19,0,151979,0
Alabama,Romania,ages_15_19,2,6.02715E+12,20,90000,170000,1,Alabama,AL,3843,456,Romania,6.02715E+12,2,ages_15_19,31,151979,0.000203976
Alabama,Russia,ages_15_19,2,6.025E+12,30,90000,170000,1,Alabama,AL,3843,465,Russia,6.025E+12,2,ages_15_19,229,151979,0.001506787
Alabama,Saudi Arabia,ages_15_19,2,6.025E+12,20,90000,170000,1,Alabama,AL,3843,533,Saudi Arabia,6.025E+12,2,ages_15_19,0,151979,0
Alabama,Singapore,ages_15_19,2,6.02352E+12,20,90000,170000,1,Alabama,AL,3843,516,Singapore,6.02352E+12,2,ages_15_19,0,151979,0
Alabama,South Korea,ages_15_19,2,6.02715E+12,130,90000,170000,1,Alabama,AL,3843,502,South Korea,6.02715E+12,2,ages_15_19,399,151979,0.002625363
Alabama,Spain,ages_15_19,2,6.01937E+12,20,90000,170000,1,Alabama,AL,3843,438,Spain,6.01937E+12,2,ages_15_19,0,151979,0
Alabama,Turkey,ages_15_19,2,6.01937E+12,20,90000,170000,1,Alabama,AL,3843,542,Turkey,6.01937E+12,2,ages_15_19,0,151979,0
Alabama,UAE,ages_15_19,2,6.02352E+12,20,90000,170000,1,Alabama,AL,3843,543,UAE,6.02352E+12,2,ages_15_19,0,151979,0
Alabama,UK,ages_15_19,2,6.02135E+12,110,90000,170000,1,Alabama,AL,3843,413,UK,6.02135E+12,2,ages_15_19,0,151979,0
Alabama,Vietnam,ages_15_19,2,6.02715E+12,90,90000,170000,1,Alabama,AL,3843,518,Vietnam,6.02715E+12,2,ages_15_19,7,151979,4.61E-05
Alabama,Australia,ages_15_19,1,6.02135E+12,20,100000,170000,1,Alabama,AL,3843,700,Australia,6.02135E+12,1,ages_15_19,144,158742,0.000907132
Alabama,Austria,ages_15_19,1,6.02368E+12,20,100000,170000,1,Alabama,AL,3843,450,Austria,6.02368E+12,1,ages_15_19,0,158742,0
Alabama,Canada,ages_15_19,1,6.0194E+12,40,100000,170000,1,Alabama,AL,3843,150,Canada,6.0194E+12,1,ages_15_19,98,158742,0.000617354
Alabama,China,ages_15_19,1,6.01945E+12,100,100000,170000,1,Alabama,AL,3843,500,China,6.01945E+12,1,ages_15_19,1088,158742,0.006853889
Alabama,France,ages_15_19,1,6.01937E+12,30,100000,170000,1,Alabama,AL,3843,421,France,6.01937E+12,1,ages_15_19,0,158742,0
Alabama,Germany,ages_15_19,1,6.01937E+12,80,100000,170000,1,Alabama,AL,3843,453,Germany,6.01937E+12,1,ages_15_19,953,158742,0.006003452
Alabama,Greece,ages_15_19,1,6.02368E+12,20,100000,170000,1,Alabama,AL,3843,433,Greece,6.02368E+12,1,ages_15_19,0,158742,0
Alabama,Hungary,ages_15_19,1,6.0194E+12,20,100000,170000,1,Alabama,AL,3843,454,Hungary,6.0194E+12,1,ages_15_19,0,158742,0
Alabama,India,ages_15_19,1,6.01692E+12,70,100000,170000,1,Alabama,AL,3843,521,India,6.01692E+12,1,ages_15_19,336,158742,0.002116642
Alabama,Indonesia,ages_15_19,1,6.01956E+12,20,100000,170000,1,Alabama,AL,3843,512,Indonesia,6.01956E+12,1,ages_15_19,0,158742,0
Alabama,Ireland,ages_15_19,1,6.0194E+12,20,100000,170000,1,Alabama,AL,3843,414,Ireland,6.0194E+12,1,ages_15_19,0,158742,0
Alabama,Israel,ages_15_19,1,6.025E+12,20,100000,170000,1,Alabama,AL,3843,534,Israel,6.025E+12,1,ages_15_19,0,158742,0
Alabama,Italy,ages_15_19,1,6.0194E+12,20,100000,170000,1,Alabama,AL,3843,434,Italy,6.0194E+12,1,ages_15_19,140,158742,0.000881934
Alabama,Japan,ages_15_19,1,6.02368E+12,20,100000,170000,1,Alabama,AL,3843,501,Japan,6.02368E+12,1,ages_15_19,0,158742,0
Alabama,Malaysia,ages_15_19,1,6.02715E+12,20,100000,170000,1,Alabama,AL,3843,514,Malaysia,6.02715E+12,1,ages_15_19,0,158742,0
Alabama,Mexico,ages_15_19,1,6.02368E+12,1200,100000,170000,1,Alabama,AL,3843,200,Mexico,6.02368E+12,1,ages_15_19,2287,158742,0.014407025
Alabama,Nepal,ages_15_19,1,6.02336E+12,20,100000,170000,1,Alabama,AL,3843,524,Nepal,6.02336E+12,1,ages_15_19,0,158742,0
Alabama,Philippines,ages_15_19,1,6.0188E+12,90,100000,170000,1,Alabama,AL,3843,515,Philippines,6.0188E+12,1,ages_15_19,0,158742,0
Alabama,Poland,ages_15_19,1,6.0194E+12,20,100000,170000,1,Alabama,AL,3843,455,Poland,6.0194E+12,1,ages_15_19,0,158742,0
Alabama,Portugal,ages_15_19,1,6.02135E+12,20,100000,170000,1,Alabama,AL,3843,436,Portugal,6.02135E+12,1,ages_15_19,0,158742,0
Alabama,Puerto Rico,ages_15_19,1,6.01952E+12,100,100000,170000,1,Alabama,AL,3843,110,Puerto Rico,6.01952E+12,1,ages_15_19,30,158742,0.000188986
Alabama,Romania,ages_15_19,1,6.02715E+12,20,100000,170000,1,Alabama,AL,3843,456,Romania,6.02715E+12,1,ages_15_19,0,158742,0
Alabama,Russia,ages_15_19,1,6.025E+12,20,100000,170000,1,Alabama,AL,3843,465,Russia,6.025E+12,1,ages_15_19,0,158742,0
Alabama,Saudi Arabia,ages_15_19,1,6.025E+12,20,100000,170000,1,Alabama,AL,3843,533,Saudi Arabia,6.025E+12,1,ages_15_19,0,158742,0
Alabama,Singapore,ages_15_19,1,6.02352E+12,20,100000,170000,1,Alabama,AL,3843,516,Singapore,6.02352E+12,1,ages_15_19,0,158742,0
Alabama,South Korea,ages_15_19,1,6.02715E+12,160,100000,170000,1,Alabama,AL,3843,502,South Korea,6.02715E+12,1,ages_15_19,733,158742,0.004617556
Alabama,Spain,ages_15_19,1,6.01937E+12,20,100000,170000,1,Alabama,AL,3843,438,Spain,6.01937E+12,1,ages_15_19,0,158742,0
Alabama,Turkey,ages_15_19,1,6.01937E+12,20,100000,170000,1,Alabama,AL,3843,542,Turkey,6.01937E+12,1,ages_15_19,0,158742,0
Alabama,UAE,ages_15_19,1,6.02352E+12,20,100000,170000,1,Alabama,AL,3843,543,UAE,6.02352E+12,1,ages_15_19,0,158742,0
Alabama,UK,ages_15_19,1,6.02135E+12,100,100000,170000,1,Alabama,AL,3843,413,UK,6.02135E+12,1,ages_15_19,0,158742,0
Alabama,Vietnam,ages_15_19,1,6.02715E+12,80,100000,170000,1,Alabama,AL,3843,518,Vietnam,6.02715E+12,1,ages_15_19,0,158742,0
Alabama,Australia,ages_20_24,2,6.02135E+12,70,200000,170000,1,Alabama,AL,3843,700,Australia,6.02135E+12,2,ages_20_24,325,146643,0.002216267
Alabama,Austria,ages_20_24,2,6.02368E+12,20,200000,170000,1,Alabama,AL,3843,450,Austria,6.02368E+12,2,ages_20_24,0,146643,0
Alabama,Canada,ages_20_24,2,6.0194E+12,150,200000,170000,1,Alabama,AL,3843,150,Canada,6.0194E+12,2,ages_20_24,165,146643,0.001125182
Alabama,China,ages_20_24,2,6.01945E+12,460,200000,170000,1,Alabama,AL,3843,500,China,6.01945E+12,2,ages_20_24,562,146643,0.003832437
Alabama,France,ages_20_24,2,6.01937E+12,60,200000,170000,1,Alabama,AL,3843,421,France,6.01937E+12,2,ages_20_24,0,146643,0
Alabama,Germany,ages_20_24,2,6.01937E+12,240,200000,170000,1,Alabama,AL,3843,453,Germany,6.01937E+12,2,ages_20_24,426,146643,0.002905014
Alabama,Greece,ages_20_24,2,6.02368E+12,20,200000,170000,1,Alabama,AL,3843,433,Greece,6.02368E+12,2,ages_20_24,0,146643,0
Alabama,Hungary,ages_20_24,2,6.0194E+12,20,200000,170000,1,Alabama,AL,3843,454,Hungary,6.0194E+12,2,ages_20_24,0,146643,0
Alabama,India,ages_20_24,2,6.01692E+12,510,200000,170000,1,Alabama,AL,3843,521,India,6.01692E+12,2,ages_20_24,96,146643,0.000654651
Alabama,Indonesia,ages_20_24,2,6.01956E+12,40,200000,170000,1,Alabama,AL,3843,512,Indonesia,6.01956E+12,2,ages_20_24,0,146643,0
Alabama,Ireland,ages_20_24,2,6.0194E+12,30,200000,170000,1,Alabama,AL,3843,414,Ireland,6.0194E+12,2,ages_20_24,0,146643,0
Alabama,Israel,ages_20_24,2,6.025E+12,20,200000,170000,1,Alabama,AL,3843,534,Israel,6.025E+12,2,ages_20_24,0,146643,0
Alabama,Italy,ages_20_24,2,6.0194E+12,70,200000,170000,1,Alabama,AL,3843,434,Italy,6.0194E+12,2,ages_20_24,0,146643,0
Alabama,Japan,ages_20_24,2,6.02368E+12,110,200000,170000,1,Alabama,AL,3843,501,Japan,6.02368E+12,2,ages_20_24,0,146643,0
Alabama,Malaysia,ages_20_24,2,6.02715E+12,20,200000,170000,1,Alabama,AL,3843,514,Malaysia,6.02715E+12,2,ages_20_24,0,146643,0
Alabama,Mexico,ages_20_24,2,6.02368E+12,4500,200000,170000,1,Alabama,AL,3843,200,Mexico,6.02368E+12,2,ages_20_24,1066,146643,0.007269355
Alabama,Nepal,ages_20_24,2,6.02336E+12,90,200000,170000,1,Alabama,AL,3843,524,Nepal,6.02336E+12,2,ages_20_24,0,146643,0
Alabama,Philippines,ages_20_24,2,6.0188E+12,160,200000,170000,1,Alabama,AL,3843,515,Philippines,6.0188E+12,2,ages_20_24,0,146643,0
Alabama,Poland,ages_20_24,2,6.0194E+12,20,200000,170000,1,Alabama,AL,3843,455,Poland,6.0194E+12,2,ages_20_24,0,146643,0
Alabama,Portugal,ages_20_24,2,6.02135E+12,20,200000,170000,1,Alabama,AL,3843,436,Portugal,6.02135E+12,2,ages_20_24,0,146643,0
Alabama,Puerto Rico,ages_20_24,2,6.01952E+12,310,200000,170000,1,Alabama,AL,3843,110,Puerto Rico,6.01952E+12,2,ages_20_24,30,146643,0.000204578
Alabama,Romania,ages_20_24,2,6.02715E+12,20,200000,170000,1,Alabama,AL,3843,456,Romania,6.02715E+12,2,ages_20_24,83,146643,0.000566
Alabama,Russia,ages_20_24,2,6.025E+12,80,200000,170000,1,Alabama,AL,3843,465,Russia,6.025E+12,2,ages_20_24,0,146643,0
Alabama,Saudi Arabia,ages_20_24,2,6.025E+12,120,200000,170000,1,Alabama,AL,3843,533,Saudi Arabia,6.025E+12,2,ages_20_24,0,146643,0
Alabama,Singapore,ages_20_24,2,6.02352E+12,20,200000,170000,1,Alabama,AL,3843,516,Singapore,6.02352E+12,2,ages_20_24,0,146643,0
Alabama,South Korea,ages_20_24,2,6.02715E+12,220,200000,170000,1,Alabama,AL,3843,502,South Korea,6.02715E+12,2,ages_20_24,733,146643,0.004998534
Alabama,Spain,ages_20_24,2,6.01937E+12,70,200000,170000,1,Alabama,AL,3843,438,Spain,6.01937E+12,2,ages_20_24,0,146643,0
Alabama,Turkey,ages_20_24,2,6.01937E+12,20,200000,170000,1,Alabama,AL,3843,542,Turkey,6.01937E+12,2,ages_20_24,0,146643,0
Alabama,UAE,ages_20_24,2,6.02352E+12,30,200000,170000,1,Alabama,AL,3843,543,UAE,6.02352E+12,2,ages_20_24,0,146643,0
Alabama,UK,ages_20_24,2,6.02135E+12,310,200000,170000,1,Alabama,AL,3843,413,UK,6.02135E+12,2,ages_20_24,170,146643,0.001159278
Alabama,Vietnam,ages_20_24,2,6.02715E+12,180,200000,170000,1,Alabama,AL,3843,518,Vietnam,6.02715E+12,2,ages_20_24,150,146643,0.001022892
Alabama,Australia,ages_20_24,1,6.02135E+12,60,210000,170000,1,Alabama,AL,3843,700,Australia,6.02135E+12,1,ages_20_24,0,135274,0
Alabama,Austria,ages_20_24,1,6.02368E+12,20,210000,170000,1,Alabama,AL,3843,450,Austria,6.02368E+12,1,ages_20_24,0,135274,0
Alabama,Canada,ages_20_24,1,6.0194E+12,140,210000,170000,1,Alabama,AL,3843,150,Canada,6.0194E+12,1,ages_20_24,0,135274,0
Alabama,China,ages_20_24,1,6.01945E+12,360,210000,170000,1,Alabama,AL,3843,500,China,6.01945E+12,1,ages_20_24,1054,135274,0.007791593
Alabama,France,ages_20_24,1,6.01937E+12,140,210000,170000,1,Alabama,AL,3843,421,France,6.01937E+12,1,ages_20_24,26,135274,0.000192202
Alabama,Germany,ages_20_24,1,6.01937E+12,260,210000,170000,1,Alabama,AL,3843,453,Germany,6.01937E+12,1,ages_20_24,1009,135274,0.007458935
Alabama,Greece,ages_20_24,1,6.02368E+12,20,210000,170000,1,Alabama,AL,3843,433,Greece,6.02368E+12,1,ages_20_24,0,135274,0
Alabama,Hungary,ages_20_24,1,6.0194E+12,20,210000,170000,1,Alabama,AL,3843,454,Hungary,6.0194E+12,1,ages_20_24,0,135274,0
Alabama,India,ages_20_24,1,6.01692E+12,300,210000,170000,1,Alabama,AL,3843,521,India,6.01692E+12,1,ages_20_24,130,135274,0.000961012
Alabama,Indonesia,ages_20_24,1,6.01956E+12,20,210000,170000,1,Alabama,AL,3843,512,Indonesia,6.01956E+12,1,ages_20_24,0,135274,0
Alabama,Ireland,ages_20_24,1,6.0194E+12,20,210000,170000,1,Alabama,AL,3843,414,Ireland,6.0194E+12,1,ages_20_24,0,135274,0
