state,origin,ages_ranges,genders,behavior,expat_population_wave5,facebook_population_wave5,dest_state_fips,dest_state_name,dest_state_letter,dest_state_FB_code,origin_ACS_bpl,origin_ACS_name,origin_FB_code,sex,age_group,nof_foreign_born,nof_residents,frac_foreign_born
Alabama,Australia,ages_15_19,2,6021354857783,20,81000,1,Alabama,AL,3843,700,Australia,6021354857783,2,ages_15_19,0,151979,0.0
Alabama,Austria,ages_15_19,2,6023675997383,20,81000,1,Alabama,AL,3843,450,Austria,6023675997383,2,ages_15_19,0,151979,0.0
Alabama,Canada,ages_15_19,2,6019396764183,80,81000,1,Alabama,AL,3843,150,Canada,6019396764183,2,ages_15_19,202,151979,0.00132913099836162
Alabama,China,ages_15_19,2,6019452369983,80,81000,1,Alabama,AL,3843,500,China,6019452369983,2,ages_15_19,77,151979,0.000506648944920022
Alabama,France,ages_15_19,2,6019367014383,20,81000,1,Alabama,AL,3843,421,France,6019367014383,2,ages_15_19,0,151979,0.0
Alabama,Germany,ages_15_19,2,6019367052983,70,81000,1,Alabama,AL,3843,453,Germany,6019367052983,2,ages_15_19,692,151979,0.00455326064785266
Alabama,Greece,ages_15_19,2,6023676017583,20,81000,1,Alabama,AL,3843,433,Greece,6023676017583,2,ages_15_19,0,151979,0.0
Alabama,Hungary,ages_15_19,2,6019396638383,20,81000,1,Alabama,AL,3843,454,Hungary,6019396638383,2,ages_15_19,0,151979,0.0
Alabama,India,ages_15_19,2,6016916298983,120,81000,1,Alabama,AL,3843,521,India,6016916298983,2,ages_15_19,326,151979,0.0021450331953756802
Alabama,Indonesia,ages_15_19,2,6019564344583,30,81000,1,Alabama,AL,3843,512,Indonesia,6019564344583,2,ages_15_19,0,151979,0.0
Alabama,Ireland,ages_15_19,2,6019396650783,20,81000,1,Alabama,AL,3843,414,Ireland,6019396650783,2,ages_15_19,0,151979,0.0
Alabama,Israel,ages_15_19,2,6025000823583,20,81000,1,Alabama,AL,3843,534,Israel,6025000823583,2,ages_15_19,0,151979,0.0
Alabama,Italy,ages_15_19,2,6019396654583,20,81000,1,Alabama,AL,3843,434,Italy,6019396654583,2,ages_15_19,67,151979,0.00044085038064469405
Alabama,Japan,ages_15_19,2,6023676028783,50,81000,1,Alabama,AL,3843,501,Japan,6023676028783,2,ages_15_19,0,151979,0.0
Alabama,KSA,ages_15_19,2,6025000813183,20,81000,1,Alabama,AL,3843,533,Saudi Arabia,6025000813183,2,ages_15_19,0,151979,0.0
Alabama,Malaysia,ages_15_19,2,6027147160983,20,81000,1,Alabama,AL,3843,514,Malaysia,6027147160983,2,ages_15_19,0,151979,0.0
Alabama,Mexico,ages_15_19,2,6023676072183,2100,81000,1,Alabama,AL,3843,200,Mexico,6023676072183,2,ages_15_19,822,151979,0.005408641983431921
Alabama,Nepal,ages_15_19,2,6023356955383,20,81000,1,Alabama,AL,3843,524,Nepal,6023356955383,2,ages_15_19,0,151979,0.0
Alabama,Philippines,ages_15_19,2,6018797091183,100,81000,1,Alabama,AL,3843,515,Philippines,6018797091183,2,ages_15_19,98,151979,0.00064482592989821
Alabama,Poland,ages_15_19,2,6019396657183,20,81000,1,Alabama,AL,3843,455,Poland,6019396657183,2,ages_15_19,0,151979,0.0
Alabama,Portugal,ages_15_19,2,6021354882783,20,81000,1,Alabama,AL,3843,436,Portugal,6021354882783,2,ages_15_19,0,151979,0.0
Alabama,Puerto Rico,ages_15_19,2,6019520122583,110,81000,1,Alabama,AL,3843,110,Puerto Rico,6019520122583,2,ages_15_19,0,151979,0.0
Alabama,Romania,ages_15_19,2,6027148962983,20,81000,1,Alabama,AL,3843,456,Romania,6027148962983,2,ages_15_19,31,151979,0.000203975549253515
Alabama,Russia,ages_15_19,2,6025000815983,20,81000,1,Alabama,AL,3843,465,Russia,6025000815983,2,ages_15_19,229,151979,0.0015067871219049999
Alabama,Singapore,ages_15_19,2,6023516403783,20,81000,1,Alabama,AL,3843,516,Singapore,6023516403783,2,ages_15_19,0,151979,0.0
Alabama,South Korea,ages_15_19,2,6027148973583,150,81000,1,Alabama,AL,3843,502,South Korea,6027148973583,2,ages_15_19,399,151979,0.00262536271458557
Alabama,Spain,ages_15_19,2,6019366943583,20,81000,1,Alabama,AL,3843,438,Spain,6019366943583,2,ages_15_19,0,151979,0.0
Alabama,UAE,ages_15_19,2,6023516430783,20,81000,1,Alabama,AL,3843,543,UAE,6023516430783,2,ages_15_19,0,151979,0.0
Alabama,United Kingdom,ages_15_19,2,6021354152983,110,81000,1,Alabama,AL,3843,413,UK,6021354152983,2,ages_15_19,0,151979,0.0
Alabama,Vietnam,ages_15_19,2,6027149006383,100,81000,1,Alabama,AL,3843,518,Vietnam,6027149006383,2,ages_15_19,7,151979,4.60589949927293e-05
